2020-07-09 10:01:00,160 category: jira.project.issue.nav-detail, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=3}
2020-07-09 10:01:00,172 category: jira.header.menu.profile, apdex: {apdexScore=100, satisfiedCount=2, toleratingCount=0, frustratedCount=0}
2020-07-09 10:01:00,172 category: jira.dialog.open.create-issue-dialog, apdex: {apdexScore=40, satisfiedCount=2, toleratingCount=5, frustratedCount=4}
2020-07-09 10:01:00,173 category: jira.dashboard, apdex: {apdexScore=40, satisfiedCount=0, toleratingCount=4, frustratedCount=1}
2020-07-09 10:01:00,173 category: jira.header.menu.projects, apdex: {apdexScore=75, satisfiedCount=1, toleratingCount=1, frustratedCount=0}
2020-07-09 10:01:00,173 category: overall, apdex: {apdexScore=45, satisfiedCount=6, toleratingCount=10, frustratedCount=8}
2020-07-09 10:01:00,173 category: jira.header.menu.dashboards, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2020-07-09 12:01:00,546 category: jira.header.menu.issues, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2020-07-09 12:01:00,628 category: jira.project.issue.nav-detail, apdex: {apdexScore=40, satisfiedCount=2, toleratingCount=0, frustratedCount=3}
2020-07-09 12:01:00,646 category: jira.header.menu.profile, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2020-07-09 12:01:00,666 category: jira.dialog.open.create-issue-dialog, apdex: {apdexScore=50, satisfiedCount=1, toleratingCount=5, frustratedCount=1}
2020-07-09 12:01:00,686 category: jira.dashboard, apdex: {apdexScore=14, satisfiedCount=0, toleratingCount=2, frustratedCount=5}
2020-07-09 12:01:00,707 category: jira.header.menu.projects, apdex: {apdexScore=75, satisfiedCount=1, toleratingCount=1, frustratedCount=0}
2020-07-09 12:01:00,727 category: overall, apdex: {apdexScore=41, satisfiedCount=5, toleratingCount=10, frustratedCount=9}
2020-07-09 12:01:00,738 category: jira.dialog.open.delete-issue-dialog, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2020-07-09 14:01:00,110 category: overall, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=2}
2020-07-09 14:01:00,126 category: jira.dashboard, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=2}
